campaign_id,customer_id,campaign_date,campaign_type,opened,converted,discount_offered
CMP000001,CUST00001,2024-06-01,sms_reminder,True,False,0.0
CMP000002,CUST00001,2024-04-12,email_discount,True,False,0.0
CMP000003,CUST00001,2024-01-12,sms_reminder,False,False,0.0
CMP000004,CUST00001,2024-02-02,personal_call,False,False,18.4
CMP000005,CUST00001,2024-02-23,email_discount,True,True,0.0
CMP000006,CUST00002,2024-06-11,push_notification,False,False,0.0
CMP000007,CUST00002,2024-04-15,email_discount,False,False,0.0
CMP000008,CUST00002,2024-02-04,sms_reminder,False,False,0.0
CMP000009,CUST00002,2024-03-16,loyalty_points,False,False,0.0
CMP000010,CUST00003,2024-06-13,personal_call,False,False,0.0
CMP000011,CUST00003,2024-04-24,loyalty_points,True,False,0.0
CMP000012,CUST00003,2024-05-22,sms_reminder,False,False,0.0
CMP000013,CUST00003,2024-03-22,email_discount,True,False,0.0
CMP000014,CUST00004,2024-05-23,sms_reminder,True,False,0.0
CMP000015,CUST00005,2024-06-02,sms_reminder,False,False,0.0
CMP000016,CUST00005,2024-04-25,email_discount,False,False,0.0
CMP000017,CUST00005,2024-01-07,sms_reminder,False,False,0.0
CMP000018,CUST00005,2024-04-16,loyalty_points,True,True,0.0
CMP000019,CUST00006,2024-05-19,email_discount,False,False,0.0
CMP000020,CUST00006,2024-02-08,push_notification,False,False,0.0
CMP000021,CUST00006,2024-04-14,loyalty_points,False,False,0.0
CMP000022,CUST00007,2024-03-31,sms_reminder,False,False,6.2
CMP000023,CUST00007,2024-01-27,push_notification,False,False,0.0
CMP000024,CUST00007,2024-02-07,loyalty_points,False,False,26.4
CMP000025,CUST00007,2024-05-06,email_discount,False,False,18.2
CMP000026,CUST00008,2024-01-28,sms_reminder,False,False,0.0
CMP000027,CUST00008,2024-05-02,email_discount,True,False,0.0
CMP000028,CUST00010,2024-04-27,email_discount,True,True,14.8
CMP000029,CUST00010,2024-05-17,sms_reminder,True,False,0.0
CMP000030,CUST00011,2024-06-11,sms_reminder,False,False,0.0
CMP000031,CUST00012,2024-06-05,push_notification,False,False,0.0
CMP000032,CUST00012,2024-05-23,personal_call,True,False,0.0
CMP000033,CUST00014,2024-02-27,email_discount,False,False,0.0
CMP000034,CUST00014,2024-05-08,sms_reminder,True,True,0.0
CMP000035,CUST00014,2024-01-05,push_notification,False,False,0.0
CMP000036,CUST00014,2024-01-05,loyalty_points,True,False,0.0
CMP000037,CUST00014,2024-06-29,push_notification,True,False,27.4
CMP000038,CUST00015,2024-03-27,push_notification,True,False,0.0
CMP000039,CUST00016,2024-03-19,sms_reminder,True,False,0.0
CMP000040,CUST00018,2024-05-06,email_discount,False,False,0.0
CMP000041,CUST00018,2024-06-05,push_notification,False,False,0.0
