customer_id,gender,age,city,membership_tier,join_date,email_verified,phone_verified
CUST00001,Male,45.0,Ahmedabad,Bronze,2022-05-22,True,True
CUST00002,Female,24.0,Hyderabad,Silver,2023-10-05,True,True
CUST00003,Female,52.0,Delhi,Bronze,2023-06-04,True,True
CUST00004,Female,45.0,Pune,Bronze,2022-03-02,True,True
CUST00005,Male,31.0,Hyderabad,Silver,2023-05-09,True,True
CUST00006,Male,27.0,Hyderabad,Silver,2022-08-18,True,False
CUST00007,Male,33.0,Mumbai,Platinum,2022-08-03,False,True
CUST00008,,33.0,Hyderabad,Bronze,2023-08-07,True,False
CUST00009,Female,48.0,Ahmedabad,Bronze,2022-01-26,True,True
CUST00010,Female,59.0,Mumbai,Bronze,2023-05-27,True,True
CUST00011,,42.0,Pune,Gold,2024-02-23,True,True
CUST00012,Other,30.0,Jaipur,Gold,2024-04-15,True,False
CUST00013,Female,23.0,Chennai,Gold,2022-02-13,True,True
CUST00014,Male,61.0,Chennai,Gold,2023-04-06,True,True
CUST00015,Male,26.0,Pune,Silver,2023-02-07,True,True
CUST00016,Male,,Pune,Silver,2022-10-31,True,True
CUST00017,Male,53.0,Ahmedabad,Bronze,2024-03-31,True,False
CUST00018,Female,60.0,Bangalore,Silver,2024-02-13,True,True
CUST00019,Male,37.0,Jaipur,Silver,2022-07-23,True,True
CUST00020,Male,35.0,Pune,Silver,2022-11-30,True,True
CUST00021,Female,60.0,Hyderabad,Platinum,2024-02-03,True,True
CUST00022,Male,38.0,Ahmedabad,Platinum,2022-10-12,False,True
CUST00023,Male,21.0,Chennai,Gold,2023-05-16,False,True
CUST00024,Male,50.0,Delhi,Gold,2023-05-06,True,False
CUST00025,Male,44.0,Ahmedabad,Silver,2024-04-10,True,True
CUST00026,Female,24.0,Chennai,Bronze,2022-10-07,True,False
CUST00027,Male,23.0,Mumbai,Bronze,2023-08-17,True,True
CUST00028,Female,32.0,Ahmedabad,Silver,2023-06-30,True,True
CUST00029,Female,35.0,Chennai,Silver,2022-03-14,True,True
CUST00030,Male,49.0,Bangalore,Bronze,2023-11-10,True,True
CUST00031,Female,28.0,Ahmedabad,Gold,2023-10-07,True,True
CUST00032,Male,37.0,Ahmedabad,Bronze,2023-05-16,True,True
CUST00033,Male,41.0,Jaipur,Bronze,2022-08-04,True,True
CUST00034,Female,32.0,Pune,Silver,2022-05-11,True,True
CUST00035,Other,24.0,Jaipur,Bronze,2024-01-17,False,True
CUST00036,Female,38.0,Ahmedabad,Bronze,2023-04-21,True,True
CUST00037,Male,59.0,Pune,Bronze,2023-01-10,True,True
CUST00038,Male,43.0,Chennai,Gold,2023-06-05,True,True
CUST00039,Female,61.0,Delhi,Silver,2023-05-17,True,True
CUST00040,Male,31.0,Delhi,Silver,2022-11-03,True,True
CUST00041,Male,54.0,Ahmedabad,Silver,2022-09-05,True,False
CUST00042,Female,38.0,Bangalore,Bronze,2023-09-21,True,False
CUST00043,Male,35.0,Mumbai,Platinum,2023-02-10,True,True
CUST00044,Female,22.0,Chennai,Bronze,2024-02-08,True,True
CUST00045,Male,20.0,Pune,Platinum,2024-05-12,True,True
CUST00046,Female,40.0,Ahmedabad,Silver,2022-12-21,True,True
CUST00047,Male,43.0,Chennai,Platinum,2024-01-08,True,True
CUST00048,Female,54.0,Ahmedabad,Bronze,2023-11-06,True,True
CUST00049,Female,41.0,Bangalore,Silver,2022-12-18,True,True
CUST00050,Male,36.0,Hyderabad,Bronze,2023-05-22,False,True
CUST00051,Other,,Hyderabad,Bronze,2023-01-14,True,True
CUST00052,Female,38.0,Bangalore,Silver,2023-12-18,False,True
CUST00053,Female,29.0,Pune,Bronze,2022-11-29,True,True
CUST00054,Female,58.0,Jaipur,Silver,2023-12-03,True,True
CUST00055,Female,50.0,Bangalore,Bronze,2022-01-22,False,True
CUST00056,Female,21.0,Ahmedabad,Bronze,2022-09-23,True,True
CUST00057,Male,59.0,Pune,Gold,2022-09-28,True,True
CUST00058,Male,24.0,Delhi,Silver,2022-10-08,True,True
CUST00059,Male,39.0,Bangalore,Silver,2022-03-12,True,True
CUST00060,Male,50.0,Pune,Silver,2023-03-15,False,True
CUST00061,Male,34.0,Bangalore,Gold,2023-07-05,True,True
CUST00062,Male,41.0,Bangalore,Bronze,2023-01-15,True,True
CUST00063,Female,51.0,Jaipur,Silver,2024-03-14,True,False
CUST00064,Male,45.0,Jaipur,Platinum,2022-10-25,True,True
CUST00065,Male,60.0,Ahmedabad,Silver,2022-07-14,True,True
CUST00066,Female,58.0,Pune,Silver,2023-05-02,True,True
CUST00067,Male,56.0,Pune,Silver,2022-10-02,True,True
CUST00068,Female,39.0,Mumbai,Silver,2022-01-26,True,True
CUST00069,Male,34.0,Bangalore,Silver,2024-02-19,False,False
CUST00070,Other,51.0,Hyderabad,Bronze,2023-04-26,True,True
CUST00071,Female,23.0,Bangalore,Bronze,2023-10-21,True,False
CUST00072,Male,,Bangalore,Gold,2022-12-31,True,False
CUST00073,Male,23.0,Pune,Bronze,2022-09-06,True,True
CUST00074,Female,51.0,Bangalore,Silver,2023-10-09,True,False
CUST00075,Female,18.0,Chennai,Bronze,2023-04-01,False,True
