customer_id,snapshot_date,recency_days,frequency,monetary_value,avg_order_value,return_rate,discount_usage_rate,categories_bought,ticket_count,unresolved_tickets,avg_satisfaction,total_sessions,days_since_last_session,campaign_count,campaign_open_rate,campaign_conversion_rate,membership_tier,age,tenure_days
CUST00001,2024-06-30,16,2,327.32,163.66,0.0,1.0,2,2,0,2.5,4,133,5,0.6,0.2,Bronze,45.0,770
CUST00002,2024-06-30,53,4,442.04,110.51,0.0,0.5,3,2,1,2.0,8,99,4,0.0,0.0,Silver,24.0,269
CUST00003,2024-06-30,19,3,284.05,94.68,0.0,0.333,2,2,0,3.0,3,146,4,0.5,0.0,Bronze,52.0,392
CUST00004,2024-06-30,174,3,316.48,105.49,0.333,0.333,3,1,0,1.0,4,155,1,1.0,0.0,Bronze,45.0,851
CUST00005,2024-06-30,107,3,436.62,145.54,0.0,0.667,3,1,0,4.0,11,173,4,0.25,0.25,Silver,31.0,418
CUST00006,2024-06-30,448,3,203.52,67.84,0.0,0.0,3,0,0,,8,98,3,0.0,0.0,Silver,27.0,682
CUST00007,2024-06-30,1,16,1003.37,62.71,0.0,0.375,5,0,0,,26,23,4,0.0,0.0,Platinum,33.0,697
CUST00008,2024-06-30,80,2,198.22,99.11,0.0,0.5,2,0,0,,6,52,2,0.5,0.0,Bronze,33.0,328
CUST00009,2024-06-30,102,2,130.55,65.28,0.0,0.5,1,3,0,2.33,3,235,0,0.0,0.0,Bronze,48.0,886
CUST00010,2024-06-30,124,1,96.59,96.59,0.0,0.0,1,1,0,4.0,6,218,2,1.0,0.5,Bronze,59.0,400
CUST00011,2024-06-30,7,6,744.68,124.11,0.167,0.5,3,2,0,3.0,13,54,1,0.0,0.0,Gold,42.0,128
CUST00012,2024-06-30,17,6,634.13,105.69,0.167,0.167,3,6,1,3.6,12,115,2,0.5,0.0,Gold,30.0,76
CUST00013,2024-06-30,452,4,501.13,125.28,0.0,0.25,3,1,1,,25,39,0,0.0,0.0,Gold,23.0,868
CUST00014,2024-06-30,113,6,738.47,105.5,0.143,0.286,4,2,1,2.0,18,137,5,0.6,0.2,Gold,61.0,451
CUST00015,2024-06-30,167,4,374.28,93.57,0.0,0.25,3,3,0,2.33,8,64,1,1.0,0.0,Silver,26.0,509
CUST00016,2024-06-30,67,6,571.13,95.19,0.0,0.5,4,1,0,5.0,10,39,1,1.0,0.0,Silver,,608
CUST00017,2024-06-30,27,3,227.79,75.93,0.0,0.667,3,1,0,2.0,2,49,0,0.0,0.0,Bronze,53.0,91
CUST00018,2024-06-30,25,5,552.79,110.56,0.0,0.4,3,1,0,2.0,13,98,4,0.25,0.0,Silver,60.0,138
CUST00019,2024-06-30,73,3,398.17,132.72,0.333,0.667,3,0,0,,9,68,1,0.0,0.0,Silver,37.0,708
CUST00020,2024-06-30,324,4,267.1,66.78,0.25,0.75,3,0,0,,5,191,1,1.0,0.0,Silver,35.0,578
CUST00021,2024-06-30,0,14,1358.4,97.03,0.143,0.643,5,0,0,,32,73,4,1.0,0.5,Platinum,60.0,148
CUST00022,2024-06-30,18,14,1754.17,125.3,0.071,0.5,5,0,0,,30,122,1,1.0,0.0,Platinum,38.0,627
CUST00023,2024-06-30,20,5,431.61,86.32,0.0,0.4,4,2,0,3.0,21,105,4,0.5,0.0,Gold,21.0,411
CUST00024,2024-06-30,146,6,686.76,114.46,0.0,0.167,4,2,1,2.0,26,135,4,0.75,0.0,Gold,50.0,421
CUST00025,2024-06-30,38,3,556.9,185.63,0.0,0.333,3,2,1,5.0,7,165,0,0.0,0.0,Silver,44.0,81
CUST00026,2024-06-30,579,1,90.96,90.96,0.0,0.0,1,0,0,,7,203,3,0.0,0.0,Bronze,24.0,632
CUST00027,2024-06-30,298,2,81.55,40.78,0.0,0.0,2,3,1,2.0,4,66,5,0.6,0.4,Bronze,23.0,318
CUST00028,2024-06-30,24,4,319.55,79.89,0.25,0.5,3,2,0,2.5,9,210,0,0.0,0.0,Silver,32.0,366
CUST00029,2024-06-30,15,4,291.39,72.85,0.0,0.75,3,2,0,3.5,11,79,0,0.0,0.0,Silver,35.0,839
CUST00030,2024-06-30,52,3,527.36,175.79,0.0,0.333,3,2,0,4.5,8,113,3,0.333,0.333,Bronze,49.0,233
CUST00031,2024-06-30,20,8,1082.58,135.32,0.0,0.5,5,1,0,5.0,11,172,1,0.0,0.0,Gold,28.0,267
CUST00032,2024-06-30,30,5,718.46,143.69,0.0,0.4,4,0,0,,3,37,5,0.6,0.2,Bronze,37.0,411
CUST00033,2024-06-30,85,2,125.37,62.68,0.0,1.0,2,1,0,1.0,5,23,3,0.667,0.0,Bronze,41.0,696
CUST00034,2024-06-30,128,4,318.65,79.66,0.0,0.5,3,1,0,4.0,7,172,0,0.0,0.0,Silver,32.0,781
CUST00035,2024-06-30,101,1,96.66,96.66,0.0,0.0,1,1,0,1.0,6,37,3,0.667,0.0,Bronze,24.0,165
CUST00036,2024-06-30,231,2,185.71,92.85,0.0,0.5,2,1,0,3.0,6,60,1,0.0,0.0,Bronze,38.0,436
CUST00037,2024-06-30,233,7,680.02,97.15,0.0,0.429,4,3,1,4.0,7,73,1,1.0,1.0,Bronze,59.0,537
CUST00038,2024-06-30,53,8,853.25,106.66,0.0,0.625,5,1,0,1.0,17,66,4,0.25,0.0,Gold,43.0,391
CUST00039,2024-06-30,67,5,1043.67,208.73,0.0,0.6,2,5,2,4.0,5,142,4,0.25,0.0,Silver,61.0,410
CUST00040,2024-06-30,310,4,383.38,95.84,0.0,0.0,3,4,1,3.33,10,65,4,0.25,0.25,Silver,31.0,605
CUST00041,2024-06-30,168,4,282.85,70.71,0.0,1.0,2,1,0,3.0,10,127,1,1.0,1.0,Silver,54.0,664
CUST00042,2024-06-30,225,1,74.12,74.12,1.0,0.0,1,1,1,,2,105,2,0.0,0.0,Bronze,38.0,283
CUST00043,2024-06-30,28,15,1593.44,106.23,0.067,0.2,5,3,1,2.0,35,101,4,0.75,0.25,Platinum,35.0,506
CUST00044,2024-06-30,23,4,718.38,179.6,0.0,0.0,3,1,0,5.0,7,92,1,1.0,0.0,Bronze,22.0,143
CUST00045,2024-06-30,1,9,1039.37,115.49,0.111,0.444,4,0,0,,32,57,3,0.333,0.0,Platinum,20.0,49
CUST00046,2024-06-30,123,5,266.4,53.28,0.0,0.4,2,0,0,,9,105,0,0.0,0.0,Silver,40.0,557
CUST00047,2024-06-30,11,15,1381.93,92.13,0.2,0.4,5,1,0,1.0,30,114,3,0.0,0.0,Platinum,43.0,174
CUST00048,2024-06-30,3,1,48.34,48.34,0.0,0.0,1,0,0,,6,131,5,0.6,0.0,Bronze,54.0,237
CUST00049,2024-06-30,131,4,391.61,97.9,0.5,0.25,4,5,2,3.33,6,229,0,0.0,0.0,Silver,41.0,560
CUST00050,2024-06-30,70,1,78.35,78.35,0.0,1.0,1,2,0,3.0,4,129,1,0.0,0.0,Bronze,36.0,405
CUST00051,2024-06-30,292,2,138.99,69.5,0.5,0.0,2,3,0,1.67,4,214,1,0.0,0.0,Bronze,,533
CUST00052,2024-06-30,30,5,817.21,163.44,0.0,0.6,3,2,0,5.0,6,62,3,0.0,0.0,Silver,38.0,195
CUST00053,2024-06-30,323,2,153.23,76.61,0.5,0.5,2,2,1,3.0,6,105,5,0.8,0.2,Bronze,29.0,579
