order_id,customer_id,order_date,amount,discount_applied,category,returned,return_reason
ORD000001,CUST00001,2024-03-06,76.45,22.68,Haircare,False,
ORD000002,CUST00001,2024-06-14,250.87,74.32,Wellness,False,
ORD000003,CUST00002,2024-05-08,185.06,6.94,Wellness,False,
ORD000004,CUST00002,2023-10-18,27.45,0.0,Wellness,False,
ORD000005,CUST00002,2024-05-06,181.7,42.83,Skincare,False,
ORD000006,CUST00002,2023-12-25,47.83,0.0,Haircare,False,
ORD000007,CUST00003,2023-09-22,68.21,0.0,Skincare,False,
ORD000008,CUST00003,2023-12-15,108.25,36.7,Skincare,False,
ORD000009,CUST00003,2024-06-11,107.59,0.0,Makeup,False,
ORD000010,CUST00004,2022-05-21,47.15,0.0,Wellness,False,
ORD000011,CUST00004,2023-03-07,103.84,0.0,Skincare,False,
ORD000012,CUST00004,2024-01-08,165.49,19.16,Haircare,True,quality
ORD000013,CUST00005,2023-11-19,105.92,26.93,Bodycare,False,
ORD000014,CUST00005,2023-11-06,61.52,6.57,Skincare,False,
ORD000015,CUST00005,2024-03-15,269.18,0.0,Haircare,False,
ORD000016,CUST00006,2023-02-01,57.43,0.0,Wellness,False,
ORD000017,CUST00006,2023-03-30,50.26,0.0,Skincare,False,
ORD000018,CUST00006,2023-04-09,95.83,0.0,Makeup,False,
ORD000019,CUST00007,2023-05-04,42.27,15.44,Bodycare,False,
ORD000020,CUST00007,2023-03-08,101.24,0.0,Makeup,False,
ORD000021,CUST00007,2022-12-27,86.2,8.5,Bodycare,False,
ORD000022,CUST00007,2024-03-23,24.69,5.76,Haircare,False,
ORD000023,CUST00007,2024-01-06,40.85,0.0,Skincare,False,
ORD000024,CUST00007,2023-01-06,125.52,0.0,Makeup,False,
ORD000025,CUST00007,2024-04-04,34.92,5.33,Wellness,False,
ORD000026,CUST00007,2023-04-17,85.51,0.0,Skincare,False,
ORD000027,CUST00007,2024-06-29,20.37,0.0,Wellness,False,
ORD000028,CUST00007,2023-05-03,83.76,0.0,Bodycare,False,
ORD000029,CUST00007,2023-10-22,21.38,0.03,Bodycare,False,
ORD000030,CUST00007,2023-12-28,58.96,0.0,Skincare,False,
ORD000031,CUST00007,2024-05-04,66.26,16.93,Haircare,False,
ORD000032,CUST00007,2023-08-20,98.11,0.0,Wellness,False,
ORD000033,CUST00007,2022-08-03,75.43,0.0,Skincare,False,
ORD000034,CUST00007,2023-08-09,37.9,0.0,Bodycare,False,
ORD000035,CUST00008,2023-12-07,72.39,25.42,Skincare,False,
ORD000036,CUST00008,2024-04-11,125.83,0.0,Wellness,False,
ORD000037,CUST00009,2024-03-20,90.72,23.94,Haircare,False,
ORD000038,CUST00009,2022-10-24,39.83,0.0,Haircare,False,
ORD000039,CUST00010,2024-02-27,96.59,0.0,Bodycare,False,
ORD000040,CUST00011,2024-06-04,198.94,0.0,Makeup,False,
ORD000041,CUST00011,2024-06-17,114.94,10.33,Wellness,False,
ORD000042,CUST00011,2024-04-21,112.14,0.0,Skincare,True,size
ORD000043,CUST00011,2024-03-11,144.99,0.0,Skincare,False,
ORD000044,CUST00011,2024-04-23,103.77,20.15,Wellness,False,
ORD000045,CUST00011,2024-06-23,69.9,13.22,Skincare,False,
ORD000046,CUST00012,2024-04-27,99.07,0.0,Makeup,False,
ORD000047,CUST00012,2024-06-13,100.65,0.0,Skincare,True,quality
ORD000048,CUST00012,2024-06-05,181.84,0.0,Skincare,False,
ORD000049,CUST00012,2024-05-16,63.41,13.6,Haircare,False,
ORD000050,CUST00012,2024-05-20,81.99,0.0,Skincare,False,
ORD000051,CUST00012,2024-06-10,107.17,0.0,Skincare,False,
ORD000052,CUST00013,2022-04-05,125.28,0.0,Skincare,False,
ORD000053,CUST00013,2022-05-19,139.99,0.0,Haircare,False,
