ticket_id,customer_id,ticket_date,issue_type,resolved,resolution_days,satisfaction_score
TKT000001,CUST00001,2023-12-03,delivery_delay,True,10.0,4.0
TKT000002,CUST00001,2024-03-07,product_defect,True,8.0,1.0
TKT000003,CUST00002,2024-02-17,refund_not_received,True,10.0,2.0
TKT000004,CUST00002,2024-03-29,billing_issue,False,,
TKT000005,CUST00003,2024-05-20,product_defect,True,4.0,1.0
TKT000006,CUST00003,2024-04-29,wrong_item,True,7.0,5.0
TKT000007,CUST00004,2024-06-24,refund_not_received,True,4.0,1.0
TKT000008,CUST00005,2023-08-24,billing_issue,True,14.0,4.0
TKT000009,CUST00009,2024-02-26,general_query,True,11.0,1.0
TKT000010,CUST00009,2023-10-05,wrong_item,True,4.0,4.0
TKT000011,CUST00009,2024-06-27,product_defect,True,3.0,2.0
TKT000012,CUST00010,2024-06-23,wrong_item,True,7.0,4.0
TKT000013,CUST00011,2024-03-16,wrong_item,True,8.0,4.0
TKT000014,CUST00011,2023-12-21,general_query,True,5.0,2.0
TKT000015,CUST00012,2023-08-23,delivery_delay,True,1.0,3.0
TKT000016,CUST00012,2024-06-25,general_query,False,,
TKT000017,CUST00012,2024-06-11,general_query,True,3.0,4.0
TKT000018,CUST00012,2024-03-17,product_defect,True,5.0,5.0
TKT000019,CUST00012,2024-04-01,wrong_item,True,14.0,4.0
TKT000020,CUST00012,2024-03-16,wrong_item,True,3.0,2.0
TKT000021,CUST00013,2024-01-07,delivery_delay,False,,
TKT000022,CUST00014,2024-05-01,general_query,True,13.0,2.0
TKT000023,CUST00014,2024-06-23,billing_issue,False,,
TKT000024,CUST00015,2024-06-28,refund_not_received,True,14.0,5.0
TKT000025,CUST00015,2024-01-13,refund_not_received,True,3.0,1.0
TKT000026,CUST00015,2023-09-16,general_query,True,11.0,1.0
TKT000027,CUST00016,2023-07-02,general_query,True,3.0,5.0
TKT000028,CUST00017,2024-05-20,billing_issue,True,1.0,2.0
TKT000029,CUST00018,2023-08-08,refund_not_received,True,7.0,2.0
TKT000030,CUST00023,2023-12-12,billing_issue,True,5.0,4.0
TKT000031,CUST00023,2024-04-01,general_query,True,4.0,2.0
TKT000032,CUST00024,2023-11-30,wrong_item,False,,
TKT000033,CUST00024,2023-09-06,wrong_item,True,1.0,2.0
TKT000034,CUST00025,2024-03-19,refund_not_received,False,,
TKT000035,CUST00025,2023-08-22,product_defect,True,11.0,5.0
TKT000036,CUST00027,2024-02-08,delivery_delay,False,,
TKT000037,CUST00027,2024-03-06,product_defect,True,6.0,2.0
TKT000038,CUST00027,2023-07-24,general_query,True,4.0,2.0
TKT000039,CUST00028,2023-07-02,wrong_item,True,3.0,4.0
TKT000040,CUST00028,2023-07-13,refund_not_received,True,14.0,1.0
TKT000041,CUST00029,2023-09-05,delivery_delay,True,14.0,2.0
TKT000042,CUST00029,2024-06-02,billing_issue,True,8.0,5.0
TKT000043,CUST00030,2024-05-29,delivery_delay,True,3.0,4.0
TKT000044,CUST00030,2024-01-13,billing_issue,True,5.0,5.0
TKT000045,CUST00031,2023-08-25,wrong_item,True,3.0,5.0
TKT000046,CUST00033,2023-10-15,billing_issue,True,3.0,1.0
TKT000047,CUST00034,2024-05-23,wrong_item,True,10.0,4.0
TKT000048,CUST00035,2023-11-16,wrong_item,True,10.0,1.0
TKT000049,CUST00036,2024-02-25,delivery_delay,True,7.0,3.0
TKT000050,CUST00037,2023-11-17,wrong_item,True,3.0,5.0
TKT000051,CUST00037,2024-04-05,general_query,False,,
TKT000052,CUST00037,2023-12-14,billing_issue,True,11.0,3.0
TKT000053,CUST00038,2023-07-29,billing_issue,True,11.0,1.0
TKT000054,CUST00039,2024-04-23,billing_issue,True,14.0,3.0
