event_id,customer_id,event_date,event_type,device,session_duration_sec
EVT0000001,CUST00001,2024-02-18,app_open,desktop,823
EVT0000002,CUST00001,2024-01-18,page_view,tablet,187
EVT0000003,CUST00001,2024-01-12,add_to_cart,mobile,353
EVT0000004,CUST00001,2023-09-30,checkout,desktop,497
EVT0000005,CUST00002,2024-03-04,app_open,desktop,598
EVT0000006,CUST00002,2023-11-12,app_open,mobile,543
EVT0000007,CUST00002,2023-12-27,checkout,desktop,490
EVT0000008,CUST00002,2024-01-26,product_review,desktop,385
EVT0000009,CUST00002,2024-03-23,wishlist,tablet,453
EVT0000010,CUST00002,2023-12-07,wishlist,desktop,583
EVT0000011,CUST00002,2024-01-26,page_view,tablet,466
EVT0000012,CUST00002,2024-01-20,wishlist,tablet,518
EVT0000013,CUST00003,2024-01-05,product_review,desktop,347
EVT0000014,CUST00003,2023-10-09,checkout,mobile,259
EVT0000015,CUST00003,2024-02-05,page_view,mobile,209
EVT0000016,CUST00004,2024-01-04,wishlist,desktop,686
EVT0000017,CUST00004,2024-01-27,wishlist,mobile,274
EVT0000018,CUST00004,2024-01-21,checkout,tablet,551
EVT0000019,CUST00004,2024-01-05,add_to_cart,tablet,301
EVT0000020,CUST00005,2023-08-12,search,desktop,324
EVT0000021,CUST00005,2023-09-25,page_view,desktop,867
EVT0000022,CUST00005,2023-12-20,product_review,tablet,348
EVT0000023,CUST00005,2023-10-16,page_view,desktop,712
EVT0000024,CUST00005,2023-10-13,add_to_cart,mobile,523
EVT0000025,CUST00005,2024-01-09,checkout,tablet,372
EVT0000026,CUST00005,2023-08-06,page_view,mobile,565
EVT0000027,CUST00005,2023-12-24,search,desktop,693
EVT0000028,CUST00005,2023-12-20,add_to_cart,tablet,690
EVT0000029,CUST00005,2023-09-29,app_open,desktop,700
EVT0000030,CUST00005,2023-08-15,wishlist,desktop,607
EVT0000031,CUST00006,2024-03-09,add_to_cart,tablet,567
EVT0000032,CUST00006,2024-03-24,product_review,mobile,282
EVT0000033,CUST00006,2023-11-06,add_to_cart,desktop,108
EVT0000034,CUST00006,2023-11-14,product_review,tablet,501
EVT0000035,CUST00006,2023-12-23,product_review,mobile,112
EVT0000036,CUST00006,2023-12-08,page_view,mobile,760
EVT0000037,CUST00006,2023-10-25,checkout,desktop,743
EVT0000038,CUST00006,2023-12-24,wishlist,mobile,418
EVT0000039,CUST00007,2024-04-10,search,tablet,32
EVT0000040,CUST00007,2024-01-17,search,desktop,648
EVT0000041,CUST00007,2024-05-08,checkout,mobile,294
EVT0000042,CUST00007,2024-04-20,product_review,desktop,617
EVT0000043,CUST00007,2024-04-08,checkout,desktop,648
EVT0000044,CUST00007,2024-04-25,product_review,desktop,824
EVT0000045,CUST00007,2024-02-15,checkout,tablet,559
EVT0000046,CUST00007,2024-02-01,search,mobile,762
EVT0000047,CUST00007,2024-02-08,checkout,mobile,430
EVT0000048,CUST00007,2024-01-07,product_review,mobile,747
EVT0000049,CUST00007,2024-02-03,product_review,desktop,854
EVT0000050,CUST00007,2024-02-20,checkout,desktop,774
EVT0000051,CUST00007,2024-03-28,search,tablet,87
EVT0000052,CUST00007,2024-01-30,wishlist,mobile,113
EVT0000053,CUST00007,2024-01-10,checkout,tablet,355
EVT0000054,CUST00007,2024-05-06,product_review,mobile,740
EVT0000055,CUST00007,2024-02-23,app_open,tablet,783
EVT0000056,CUST00007,2024-06-07,product_review,mobile,358
EVT0000057,CUST00007,2024-04-28,product_review,mobile,167
EVT0000058,CUST00007,2024-03-01,page_view,desktop,356
EVT0000059,CUST00007,2023-12-21,app_open,desktop,336
EVT0000060,CUST00007,2024-06-01,add_to_cart,tablet,848
EVT0000061,CUST00007,2024-02-01,app_open,desktop,374
EVT0000062,CUST00007,2024-01-09,wishlist,tablet,810
EVT0000063,CUST00007,2024-02-24,checkout,tablet,358
EVT0000064,CUST00007,2024-03-13,search,mobile,685
EVT0000065,CUST00008,2024-02-01,search,mobile,262
EVT0000066,CUST00008,2024-05-09,checkout,tablet,277
EVT0000067,CUST00008,2024-01-23,app_open,mobile,141
EVT0000068,CUST00008,2024-01-05,product_review,tablet,277
EVT0000069,CUST00008,2024-02-18,search,desktop,141
EVT0000070,CUST00008,2024-04-04,product_review,mobile,813
EVT0000071,CUST00009,2023-10-17,wishlist,tablet,764
EVT0000072,CUST00009,2023-11-08,add_to_cart,mobile,860
EVT0000073,CUST00009,2023-09-19,product_review,tablet,87
EVT0000074,CUST00010,2023-11-05,wishlist,desktop,356
EVT0000075,CUST00010,2023-08-16,page_view,mobile,814
EVT0000076,CUST00010,2023-09-14,add_to_cart,tablet,506
EVT0000077,CUST00010,2023-10-13,app_open,mobile,370
EVT0000078,CUST00010,2023-11-25,app_open,desktop,641
EVT0000079,CUST00010,2023-11-19,search,desktop,235
EVT0000080,CUST00011,2024-01-21,product_review,mobile,187
EVT0000081,CUST00011,2024-04-04,page_view,desktop,292
EVT0000082,CUST00011,2023-12-16,page_view,mobile,567
EVT0000083,CUST00011,2024-05-07,page_view,desktop,32
EVT0000084,CUST00011,2023-12-17,app_open,desktop,427
EVT0000085,CUST00011,2024-03-28,app_open,desktop,310
EVT0000086,CUST00011,2024-04-03,add_to_cart,desktop,726
EVT0000087,CUST00011,2024-02-10,page_view,mobile,695
EVT0000088,CUST00011,2024-02-20,add_to_cart,mobile,771
EVT0000089,CUST00011,2024-02-23,checkout,desktop,105
EVT0000090,CUST00011,2024-02-13,product_review,mobile,636
EVT0000091,CUST00011,2024-01-07,product_review,desktop,68
EVT0000092,CUST00011,2024-04-13,wishlist,mobile,126
EVT0000093,CUST00012,2024-03-07,wishlist,tablet,685
EVT0000094,CUST00012,2024-01-31,wishlist,mobile,516
EVT0000095,CUST00012,2024-02-25,product_review,mobile,714
EVT0000096,CUST00012,2023-12-23,search,desktop,74
EVT0000097,CUST00012,2024-01-22,product_review,tablet,843
EVT0000098,CUST00012,2023-10-13,wishlist,tablet,402
EVT0000099,CUST00012,2024-02-15,checkout,mobile,678
EVT0000100,CUST00012,2024-02-22,app_open,tablet,281
EVT0000101,CUST00012,2024-01-04,wishlist,tablet,511
EVT0000102,CUST00012,2024-02-19,add_to_cart,desktop,66
EVT0000103,CUST00012,2024-01-08,product_review,desktop,852
EVT0000104,CUST00012,2024-01-29,page_view,desktop,108
EVT0000105,CUST00013,2024-04-04,search,mobile,34
EVT0000106,CUST00013,2024-03-24,wishlist,tablet,573
EVT0000107,CUST00013,2023-12-29,add_to_cart,desktop,402
EVT0000108,CUST00013,2023-12-21,add_to_cart,mobile,304
EVT0000109,CUST00013,2024-05-18,search,desktop,66
EVT0000110,CUST00013,2024-02-26,checkout,tablet,843
EVT0000111,CUST00013,2023-12-13,add_to_cart,mobile,372
EVT0000112,CUST00013,2024-02-28,wishlist,desktop,275
EVT0000113,CUST00013,2024-01-22,wishlist,tablet,598
EVT0000114,CUST00013,2024-05-15,search,mobile,599
EVT0000115,CUST00013,2024-03-26,add_to_cart,tablet,607
EVT0000116,CUST00013,2024-02-09,wishlist,tablet,839
EVT0000117,CUST00013,2024-02-22,search,tablet,73
EVT0000118,CUST00013,2024-05-20,app_open,desktop,763
EVT0000119,CUST00013,2024-02-29,checkout,tablet,243
EVT0000120,CUST00013,2024-04-10,search,mobile,501
EVT0000121,CUST00013,2023-12-24,product_review,mobile,445
EVT0000122,CUST00013,2023-12-22,checkout,mobile,621
EVT0000123,CUST00013,2023-12-11,wishlist,mobile,341
EVT0000124,CUST00013,2024-03-28,checkout,desktop,56
EVT0000125,CUST00013,2024-05-05,checkout,desktop,45
EVT0000126,CUST00013,2024-03-07,checkout,tablet,888
EVT0000127,CUST00013,2024-02-21,wishlist,desktop,558
EVT0000128,CUST00013,2023-12-31,app_open,tablet,679
EVT0000129,CUST00013,2024-05-22,product_review,desktop,360
EVT0000130,CUST00014,2023-11-05,app_open,tablet,538
EVT0000131,CUST00014,2024-01-11,add_to_cart,mobile,203
EVT0000132,CUST00014,2023-12-02,add_to_cart,mobile,288
EVT0000133,CUST00014,2023-12-15,page_view,mobile,438
EVT0000134,CUST00014,2023-12-15,product_review,mobile,617
EVT0000135,CUST00014,2024-01-19,app_open,mobile,876
EVT0000136,CUST00014,2023-10-28,app_open,tablet,510
EVT0000137,CUST00014,2024-01-20,product_review,mobile,420
EVT0000138,CUST00014,2023-12-15,wishlist,tablet,110
EVT0000139,CUST00014,2023-08-27,app_open,mobile,895
EVT0000140,CUST00014,2023-11-29,product_review,mobile,883
EVT0000141,CUST00014,2024-02-02,app_open,mobile,590
EVT0000142,CUST00014,2023-11-05,page_view,mobile,865
EVT0000143,CUST00014,2024-01-09,add_to_cart,mobile,597
EVT0000144,CUST00014,2023-11-01,product_review,mobile,306
EVT0000145,CUST00014,2024-02-14,product_review,mobile,681
EVT0000146,CUST00014,2023-12-03,wishlist,desktop,169
