customer_id,segment_name,recency,frequency,monetary,R,F,M,RFM_Total,ticket_count,unresolved_tickets,return_rate,discount_usage,total_sessions,days_since_session,membership_tier
CUST00001,New Customers,16,2,327.32,4,1,2,7,2.0,0.0,0.0,1.0,4.0,133.0,Bronze
CUST00002,Loyal Customers,53,4,442.04,3,3,3,9,2.0,1.0,0.0,0.5,8.0,99.0,Silver
CUST00003,Loyal Customers,19,3,284.05,4,2,2,8,2.0,0.0,0.0,0.3333333333333333,3.0,146.0,Bronze
CUST00004,Dormant Customers,174,3,316.48,1,2,2,5,1.0,0.0,0.3333333333333333,0.3333333333333333,4.0,155.0,Bronze
CUST00005,At-Risk Customers,107,3,436.62,2,2,3,7,1.0,0.0,0.0,0.6666666666666666,11.0,173.0,Silver
CUST00006,Potential Loyalists,448,3,203.52,1,2,2,5,0.0,0.0,0.0,0.0,8.0,98.0,Silver
CUST00007,Champions,1,16,1003.37,4,4,4,12,0.0,0.0,0.0,0.375,26.0,23.0,Platinum
CUST00008,Potential Loyalists,80,2,198.22,2,1,2,5,0.0,0.0,0.0,0.5,6.0,52.0,Bronze
CUST00009,Dormant Customers,102,2,130.55,2,1,1,4,3.0,0.0,0.0,0.5,3.0,235.0,Bronze
CUST00010,Potential Loyalists,124,1,96.59,2,1,1,4,1.0,0.0,0.0,0.0,6.0,218.0,Bronze
CUST00011,Champions,7,6,744.68,4,3,4,11,2.0,0.0,0.16666666666666666,0.5,13.0,54.0,Gold
CUST00012,Champions,17,6,634.13,4,3,3,10,6.0,1.0,0.16666666666666666,0.16666666666666666,12.0,115.0,Gold
CUST00013,At-Risk Customers,452,4,501.13,1,3,3,7,1.0,1.0,0.0,0.25,25.0,39.0,Gold
CUST00014,At-Risk Customers,113,6,673.56,2,3,3,8,2.0,1.0,0.16666666666666666,0.3333333333333333,18.0,137.0,Gold
CUST00015,At-Risk Customers,167,4,374.28,2,3,2,7,3.0,0.0,0.0,0.25,8.0,64.0,Silver
CUST00016,Loyal Customers,67,6,571.13,3,3,3,9,1.0,0.0,0.0,0.5,10.0,39.0,Silver
CUST00017,Discount-Sensitive,27,3,227.79,3,2,2,7,1.0,0.0,0.0,0.6666666666666666,2.0,49.0,Bronze
CUST00018,Champions,25,5,552.79,4,3,3,10,1.0,0.0,0.0,0.4,13.0,98.0,Silver
CUST00019,Loyal Customers,73,3,398.17,3,2,3,8,0.0,0.0,0.3333333333333333,0.6666666666666666,9.0,68.0,Silver
CUST00020,Discount-Sensitive,324,4,267.1,1,3,2,6,0.0,0.0,0.25,0.75,5.0,191.0,Silver
CUST00021,Champions,0,14,1358.4,4,4,4,12,0.0,0.0,0.14285714285714285,0.6428571428571429,32.0,73.0,Platinum
CUST00022,Champions,18,14,1754.17,4,4,4,12,0.0,0.0,0.07142857142857142,0.5,30.0,122.0,Platinum
CUST00023,Champions,20,5,431.61,4,3,3,10,2.0,0.0,0.0,0.4,21.0,105.0,Gold
CUST00024,At-Risk Customers,146,6,686.76,2,3,3,8,2.0,1.0,0.0,0.16666666666666666,26.0,135.0,Gold
CUST00025,Loyal Customers,38,3,556.9,3,2,3,8,2.0,1.0,0.0,0.3333333333333333,7.0,165.0,Silver
CUST00026,Potential Loyalists,579,1,90.96,1,1,1,3,0.0,0.0,0.0,0.0,7.0,203.0,Bronze
CUST00027,Dormant Customers,298,2,81.55,1,1,1,3,3.0,1.0,0.0,0.0,4.0,66.0,Bronze
CUST00028,Loyal Customers,24,4,319.55,4,3,2,9,2.0,0.0,0.25,0.5,9.0,210.0,Silver
CUST00029,Loyal Customers,15,4,291.39,4,3,2,9,2.0,0.0,0.0,0.75,11.0,79.0,Silver
CUST00030,Loyal Customers,52,3,527.36,3,2,3,8,2.0,0.0,0.0,0.3333333333333333,8.0,113.0,Bronze
CUST00031,Champions,20,8,1082.58,4,4,4,12,1.0,0.0,0.0,0.5,11.0,172.0,Gold
CUST00032,Champions,30,5,718.46,3,3,4,10,0.0,0.0,0.0,0.4,3.0,37.0,Bronze
CUST00033,Potential Loyalists,85,2,125.37,2,1,1,4,1.0,0.0,0.0,1.0,5.0,23.0,Bronze
CUST00034,At-Risk Customers,128,4,318.65,2,3,2,7,1.0,0.0,0.0,0.5,7.0,172.0,Silver
CUST00035,Potential Loyalists,101,1,96.66,2,1,1,4,1.0,0.0,0.0,0.0,6.0,37.0,Bronze
CUST00036,Potential Loyalists,231,2,185.71,1,1,2,4,1.0,0.0,0.0,0.5,6.0,60.0,Bronze
CUST00037,At-Risk Customers,233,7,680.02,1,4,3,8,3.0,1.0,0.0,0.42857142857142855,7.0,73.0,Bronze
CUST00038,Champions,53,8,853.25,3,4,4,11,1.0,0.0,0.0,0.625,17.0,66.0,Gold
CUST00039,Champions,67,5,1043.67,3,3,4,10,5.0,2.0,0.0,0.6,5.0,142.0,Silver
CUST00040,At-Risk Customers,310,4,383.38,1,3,3,7,4.0,1.0,0.0,0.0,10.0,65.0,Silver
CUST00041,At-Risk Customers,168,4,282.85,2,3,2,7,1.0,0.0,0.0,1.0,10.0,127.0,Silver
CUST00042,Dormant Customers,225,1,74.12,1,1,1,3,1.0,1.0,1.0,0.0,2.0,105.0,Bronze
